"Tr","Time","Valine..1TMS.","Succinic.acid..2TMS.","X2.Oxoglutaric.acid..1MEOX...2TMS..BP","Melibiose..1MEOX...8TMS..BP","Galactinol..9TMS."
"C","2","0.14424725","0.03076229","0.02143880","0.09345074","0.022860260"
"P","2","0.27260550","0.18581004","0.35358582","0.05703658","0.047848716"
"F","2","0.20503410","0.26894012","0.12394755","0.39949640","0.443702742"
"F","2","0.16813374","0.69005751","0.22722985","0.51560814","0.659690522"
"F","2","0.23881515","0.18867556","0.23299602","0.63927863","0.285538921"
"F","2","0.27577835","0.45265740","0.17470110","0.13274405","0.177305373"
"F","2","1.00000000","1.00000000","1.00000000","0.25198695","1.000000000"
"M","2","0.28183816","0.12537400","0.04633515","0.24282428","0.087378477"
"M","2","0.39984583","0.30303535","0.11417177","0.18019505","0.045190255"
"M","2","0.38424965","0.21528858","0.09644059","0.21044147","0.056454786"
"C","2","0.07644546","0.03457840","0.03214269","0.14418944","0.027770901"
"M","2","0.91117459","0.21495342","0.07198985","0.43960256","0.064298704"
"C","4","0.12475352","0.05562206","0.04204543","0.26285120","0.030865482"
"C","4","0.08270223","0.02432045","0.03904780","0.06184662","0.003236288"
"C","4","0.10856381","0.08095723","0.18169454","0.20444175","0.026152314"
"C","4","0.06326428","0.02290260","0.03820836","0.15559215","0.036074532"
"C","4","0.09676934","0.03946404","0.12448065","0.06211167","0.028844876"
"P","4","0.40142954","0.27257109","0.15646307","0.41489256","0.193885709"
"P","4","0.36504942","0.51993326","0.19993077","0.65866248","0.505657637"
"P","4","0.30772814","0.43095055","0.12689616","0.55112828","0.202167973"
"P","4","0.17169867","0.10617809","0.07636166","0.07673064","0.016641962"
"C","2","0.14673979","0.10133556","0.07342754","0.28492688","0.056495233"
"P","4","0.21405934","0.19283806","0.08916774","0.11618666","0.044367006"
"F","4","0.04974588","0.06651709","0.09442239","0.07786566","0.043240950"
"F","4","0.08593203","0.06371001","0.03447631","0.08518678","0.010657553"
"F","4","0.06270900","0.44123153","0.23057524","0.05312508","0.254346153"
"F","4","0.08147302","0.10818085","0.14311106","0.15404528","0.370256599"
"F","4","0.15294410","0.12490508","0.14511442","0.06413837","0.235962324"
"M","4","0.45030568","0.37650369","0.09879352","0.46639638","0.255852053"
"M","4","0.25261255","0.22084146","0.12302367","0.05706803","0.011898311"
"M","4","0.43634114","0.26815410","0.12556869","0.29991697","0.037591437"
"M","4","0.39612031","0.20520395","0.09581957","0.05205768","0.003045190"
"C","2","0.07084584","0.03284639","0.06716465","0.06191849","0.016933496"
"M","4","0.53617320","0.18934415","0.10698956","0.09723496","0.034218382"
"C","6","0.07005450","0.02471942","0.02481145","0.15115662","0.029746912"
"C","6","0.16266241","0.02460764","0.02807742","0.02132649","0.005583356"
"C","6","0.15815094","0.05844093","0.03229469","0.05042550","0.009199887"
"C","6","0.19361264","0.06530289","0.03993240","0.12448575","0.032515340"
"C","6","0.17216801","0.06671543","0.12711735","0.28879426","0.210450735"
"P","6","0.15248582","0.35871057","0.11489966","0.15802268","0.020803365"
"P","6","0.70799804","0.52941170","0.22043780","0.35576010","0.276733971"
"P","6","0.40466647","0.32266316","0.11443397","0.32370393","0.009609750"
"C","2","0.08480163","0.10478159","0.09658584","0.26281885","0.163446617"
"P","6","0.15089837","0.17228410","0.08742276","0.12114161","0.012028218"
"F","6","0.10084228","0.06938805","0.07255757","0.10903745","0.028262076"
"F","6","0.21112683","0.08007537","0.03249338","0.14035554","0.011278042"
"F","6","0.14307060","0.25368452","0.09001212","0.05632612","0.085491111"
"F","6","0.14831662","0.09796515","0.07745890","0.32735575","0.396684112"
"F","6","0.15526314","0.10797262","0.06844630","0.25133103","0.242295811"
"M","6","0.24893235","0.42248635","0.09232639","0.04226263","0.003854683"
"M","6","0.11113271","0.12685124","0.03789850","0.08234715","0.023095770"
"M","6","0.18822495","0.20989977","0.07388141","0.11608236","0.037459350"
"M","6","0.32336721","0.18483154","0.21929562","0.59936156","0.045120218"
"P","2","0.76282743","0.49263494","0.35078759","0.68765702","0.587337373"
"M","6","0.32501365","0.24376188","0.13786400","0.14511740","0.040301856"
"P","2","0.34127126","0.34667610","0.10629087","0.32078934","0.149779602"
"P","2","0.35926910","0.21754557","0.37037407","0.41685811","0.084783317"
"P","2","0.66522160","0.48733138","0.18948699","1.00000000","0.284026442"
